Name,Mileage (Mi.),Dealer Name,Price ($),Rating,Rating_Count
2018 Mercedes-Benz C-Class C 300 4MATIC,"19,534 ",Mercedes-Benz of Westwood,"34,497",4.6,536 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"37,689 ",Mercedes-Benz of Catonsville,"44,990",4.2,360 
2018 Mercedes-Benz E-Class E 300,"21,594 ",Mercedes-Benz of Silver Spring,"44,900",4.8,"1,457 "
2020 Mercedes-Benz GLB 250 Base 4MATIC,"4,685 ",Mercedes-Benz Of Tacoma,"46,500",4.5,"2,532 "
2017 Mercedes-Benz S-Class S 550,"54,767 ",Fletcher Jones Imports,"59,995",4.9,"2,032 "
2018 Mercedes-Benz GLS 450 Base 4MATIC,"39,372 ",RBM of Atlanta,"59,869",4.9,997 
2018 Mercedes-Benz E-Class E 300,"12,024 ",Mercedes Benz of Atlantic City,"45,460",4.6,868 
2018 Mercedes-Benz C-Class C 300,"29,907 ",Mercedes-Benz of Arrowhead,"39,985",4.5,230 
2018 Mercedes-Benz E-Class E 300,"12,961 ",Euro Motorcars Devon,"45,549",4.7,294 
2015 Mercedes-Benz S-Class S 550 4MATIC,"31,175 ",Keenan Motors,"57,891",4.8,443 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"10,251 ",Mercedes-Benz of Wilmington,"45,900",4.6,"1,782 "
2019 Mercedes-Benz GLC 300 Base,"18,960 ",Mercedes-Benz of Plano,"40,000",4.4,986 
2019 Mercedes-Benz C-Class C 300 4MATIC,"12,748 ",Jackie Cooper Imports,"42,750",4.9,"2,620 "
2018 Mercedes-Benz GLS 450 Base 4MATIC,"44,405 ",Mercedes-Benz Of Athens,"48,846",4.7,251 
2018 Mercedes-Benz C-Class C 300 4MATIC,"37,513 ",Mercedes-Benz of Westwood,"32,699",4.6,536 
2019 Mercedes-Benz C-Class C 300,"16,471 ",Mercedes-Benz of North Scottsdale,"34,988",4.9,"1,071 "
2018 Mercedes-Benz E-Class E 400 4MATIC,"28,976 ",Mercedes Benz of Hoffman Estates,"50,499",4.7,"1,018 "
2020 Mercedes-Benz GLA 250 Base 4MATIC,"13,095 ",Motor Werks - Barrington Auto Mall,"36,987",4.8,"4,450 "
2018 Mercedes-Benz CLA 250 Base 4MATIC,"39,651 ",Mercedes-Benz of Chesterfield,"35,813",4.5,95 
2018 Mercedes-Benz C-Class C 300,"24,495 ",Fletcher Jones Motorcars of Fremont,"33,488",4.9,"1,138 "
2018 Mercedes-Benz CLA 250 Base 4MATIC,"48,379 ",Napleton Autowerks Loves Park,"29,999",4.8,796 
